komentar,cleaned,sentimen,emosi
Kok dipakaikan masker.,kok pakai,Negatif,Lainnya
"pdhl k uwing w ngomong hyng ewean mh,doma bikang uwing taya pamacekna..",pdhl k uing ngomong hyng eean bikang uing taya,Negatif,Lainnya
Seorang dokter memperkosa??????ya Allah......,orang dokter perkosa,Negatif,Lainnya
Satpam nya diperiksa ga? Soalnya dari ucapan satpam kaya udah tau menau kasus ini..,satpam nya periksa ga soal ucap satpam kaya udah tau tau kasus,Negatif,Lainnya
Kasep padahal si dokter th jeng bodas.. hanjakal duh,kaseadahal si dokter th jeng hanjakal,Negatif,Lainnya
"disaritem loba atu euy,sok nyiar nyiar wae atu 😑",disaritem lobtu ae atu,Netral,Lainnya
Pdhl dirayu dikit sm dokter langsung leleh😂,pdhl rayu dikit sm dokter langsung h,Negatif,Lainnya
berita : seorang tahanan ditemukan tewas di dalam sel,berita orang tah temu teas dalam,Negatif,Lainnya
Parah jelema teh😂😂,parah jelema teh,Negatif,Lainnya
jangan ditiru loh dok @su.666.ar 🤓,jangan tiru loh dok ar,Negatif,Lainnya
"Padahal udah nikah loh, ada istri dirumah kan bisa",padahal udah nikah istri rumah kan,Netral,Lainnya
Ga bisa bayar kah dok buat jajan?,ga bayar dok buat n,Netral,Lainnya
Ngeriii kieu ya allah..boa ada korban2 lain tp gk berani lapor ato speak up,ngeri kieu boda korban tp gk berani lapor ato speak,Netral,Takut
TO LOL 🔥,to lol,Positif,Lainnya
"Itu yg ketahuan, jangan² ada korban lain. Kalau korbannya orang biasa² mah mungkin GK kepikiran buat visum ke SPOG, mana ada duit juga. Naaahhh jangan² yg suka ngaku ko hamil padahal GK punya pasangan, jangan²....",yg jangan korban kalau korbaya orang biasa mah mungkin gepikiran buat visum manda duit nah jangan yg suka ngaku ko hamil padahal gk punya jangan,Netral,Lainnya
sayang x hancur semua hnya krna nafsu,sayang x hancur semua hnya,Netral,Lainnya
GoodLooking dokter pulakk tapi kalah sama nafsu sesaat,gdlking dokter tapi kalah sama nafsu,Netral,Lainnya
"Cantik dikit bius, kalau mau berobat atau periksa apa harus ke damkar ?",cantik dikit kalau mau berobau perikspa ke damkar,Negatif,Lainnya
Beak ieu mah dijero 😂,beak ieu mah jero,Netral,Lainnya
"Napsu nya sebentar penyesalan seumur hidup , nikmat nya langsung dicabut sma Allah saat itu juga naudzubillah 😢",napsu nya sebentar sesal umur hidup nya langsung cabut smah st juga naudzubiah,Negatif,Sedih
Abis di dlm sel di bales tuh smpe mampus 🤬,abis dlm sel bales tuh smpe mampus,Netral,Marah
Ya Allah indahnya kalo kriminal dihukum secara islam 😍,yah indah kalo kriminal hukum islam,Negatif,Lainnya
Kenapa pake masker? Harusnya di pampang tuh muka nya biar masyarakat tau.,kenake masker harus pampang tuh muka nya biar,Negatif,Lainnya
Ningal raray na ge jiga bahan latex kondom 😂😂😂,ningal y na ge jiga bahan latex kondom,Negatif,Lainnya
Saloba jelema kitu euweuh nu nyiduhan,saloba jelema kitu eueuh nu,Negatif,Lainnya
Nitip bang napi ada kiriman mulus ne,nitip bang napi kirim mulus,Negatif,Lainnya
Kelainaan kyanya ini org hypersex iya Kelainanpun,kelainn kyanya org hypersex iya,Negatif,Lainnya
Trus yg cabuli anak kecil di NTT dan Di upload ke situs porno aus oleh si coklat kabarnya gmn?,trus yg cabul anaecil n di upload situs porno aus si coklat kabar gmn,Negatif,Lainnya
Ich kok punya gunung kembar 😮🤭,ich kok punya gg kembar,Negatif,Lainnya
"Duh ngeri banget ,baru hari ini suami pulang d rawat dari RSHS ,,",duh ngeri banget harni suami pulang d raat,Negatif,Takut
Rumah sakit seharus nya jg menerapkan aturan di mana semua prosedur harus ada suster yg menemani pasien. Jadi tdk boleh dokter berduaan sj dengan pasien,rumah sakit harus nya jg terap atur mana semua prosedur ada suster yg tani jadi tdk dokter berdun sj,Netral,Lainnya
"Carabul nyaeta dokter teh, Komo k perawat mh barI dines tengah peting, YYTA",carabul nyaeta dokter komo k peraat mh bari dines tengah,Negatif,Lainnya
"kumaha pipikiranna nya ieu si jurig jarian,sarap!",maha kiraa nya ieu si jurig,Negatif,Lainnya
"Itulah ya karna perkara ga bisa nahan nafsu. Akhirnya kehidupan 3 orang hancur. Kehidupan pelaku, istri pelaku dan korban🤦‍♀️ pelajaran buat laki-laki di luaran sana jgn sembarangan lampiaskan nafsu selain ke istri sendiri. Pdhl dia dr anestesi ya sering melihat pasien OP telanjang. Kirain udah biasa aja, trnyata nafsuan jg ya. Pelampiasannya ke keluarga pasien pula 🤦‍♀️ balek ke rumah jumpa istri kan bisa",karna perkara ga akhir hidup orang hidup istri laku korban ajar buat laki laki luar sana jgn sembarang lampiaskaafsu ke istri pdhl dr anestesi ya sering lihat pasien op kirain udah trnyata nafsu jg pelampiasaya luarga pasien balee rumah jumpa istri kan,Netral,Lainnya
Disekolahkan mahal² haduh akhirnya bikin malu keluarga...,sekolah mahal haduh akhir bikin malu,Negatif,Lainnya
wartawan : “masih mulus ituuu” 😭🤣,arta masih mulus itu,Negatif,Sedih
"ceuk nu engges bebas di penjara, nu kieu mah rata² bakal ngasaan coli make balsem + lilin hurung dinu handapeun leungeuna 😂",ceuk nu enes bebas nu kieu mah rata bakal ngasn coli make balsem n hurung dinu handapeun leungeuna,Netral,Lainnya
kok dia terlihat seperti ada pay*dara?,kok lihat ada pay dara,Negatif,Lainnya
Dokter bukan kak,dokter bukan,Netral,Lainnya
Bagus ga disensor muka pelakunya 😂,bagus ga sensor muka laku,Netral,Lainnya
Model model gini padahal mah lemah syahwat,gin padahal mah lemah,Negatif,Lainnya
SIAP NGALOCO MAKE BALSEM,siap ngaloco make,Negatif,Lainnya
Dia pake BH ??? 😂,pake bh,Netral,Lainnya
"harusnya yg gini gini tuh gausah pake masker, biar tau rasa",harus yini gin tuh gausah pake biar tau,Negatif,Lainnya
Cabut STRnya 😢,cabut strnya,Negatif,Sedih
Caboel caboel. Biar mampus lu di dalem,biar mampus lu,Netral,Lainnya
Caur siamah dok,caur siamah,Netral,Lainnya
hmm tujuan utama ya itu,h tuju utama,Negatif,Lainnya
"Punten ieu mah, eta geura di miniset-an aya nu munu'u 😭🙏🏻",punten ieu eta geura miniset an aya nu munu u,Negatif,Sedih
Itu cwk apa cwk ya ? Kok ada yg menonjol 😮,ck apa ck kok yg tonjol,Negatif,Lainnya
Jadi bulan bulanan di hotel Prodeo,jadi an hotel,Positif,Lainnya
Anak Maranatha ternyata,anak maranatha,Netral,Lainnya
Siapa yang setuju dia 1 sel sama si Reynhard Sinaga???,siapa tuju sel sama si reynhard sinaga,Netral,Lainnya
"Etdah lo punya bini, tinggal gas sama bini. Apalagi lo dokter duit banyak, tinggal milih mau jajan model bijimane. Malah ngadi2 ke keluarga pasien. Tong tong 😂",etdah lo punya tal gaama lo dokter duit tal milih mau n model malah ngadi luarga,Netral,Lainnya
tmn² napi menanti... Sy nunggu kabar terbarunya aja 🤣😆,tmn napi sy nunu kabar terbarunyja,Negatif,Lainnya
Hah? 15 kali memasukkan jarum? Seorang PPDS emang ga becus pasang infus kah? Kok bs sampai 15 kali,hah kali pasu jarum orang ds emana becus pasang infus kok bampai,Negatif,Lainnya
"Kalo udh kena kasian juga mukanya , lebih kasian ke istrinya 😢",kalo udh kena kasi muka kasi istri,Negatif,Sedih
Nikmat sesaat yang malah bikin sesat,nikmat sest malah bikin,Negatif,Lainnya
Kedokteran banyak busuknya daripada harumnya 🤮,dokter banyak busuk harum,Negatif,Lainnya
Sekolah tinggi hawa nafsu pun tinggi 😂😂😂,sekolah tin haa nafsu tin,Negatif,Lainnya
salam olah raga sama warga lapas👏😂,salam olah raga sama arga lapas,Negatif,Lainnya
Suntik paeh ajaran mang...tuman,suntik paeh ajar,Negatif,Lainnya
Jelema pinter tapi teu waras,jelema pinter teu,Negatif,Lainnya
Cape” kuliah kedokteran kalakuan kitu matut 🤣,cape kuliah dokter kalakuan kitu matut,Negatif,Lainnya
"Lebar anying skola mahal"" musnah Kabeh ku birahi mah",lebar anying skola musnah kabeh ku birah,Negatif,Lainnya
salpok sama kaki nya😮,salpok sama kaki nya,Negatif,Lainnya
"Yaa Allah, hancur sudah hati kedua orang tuanya 😢",y aaancur sudaati dua orang tua,Negatif,Sedih
"Percaya dha, pasti banyak korban x, 🔥",percaya banyaorban,Netral,Lainnya
Sayang kuliah cape duit juga tenaga hancur seketika hanya karena nafsu sesaat.,sayang kuliah cape duit tenaga hancur ketika karefsu,Netral,Lainnya
fujo kuliah mahal2 supaya memudahkan dy dalam melecehkan orang,fujo kuliah mahal mudah dy dalaelecehkan,Negatif,Lainnya
"Ilmu kalo bukan sama orgnya yg tepat ya begini, disalah gunakan😢",ilmu kalo bukan sama orgnya yg tepat salah guna,Negatif,Sedih
Lebar mang bersih keneh kitu duh. Minimal bengep saetik lah..,lebar mang bersih keneh kitu minimal bengep saetik,Negatif,Lainnya
dokter birahi padahal tinggal punya pacar atau kawin atau beli aja kek anjir lu dokter anjir,dokter birah padahal tal punya pacar kain beli aja kek anjir lu dokter,Negatif,Marah
"Aing naha salfok nempo dada na, geuningan kos bikang..😂",aing naha salfok nempo geuningan kos,Negatif,Lainnya
Kalau Lolos dari hukuman/selesai dari hukuman manusia ini sangat berbahaya.karena mempunyai ilmu tapi tidak di gunakan untuk kebaikan melaikan kejahatan😢😢,kalau s hukum selesai hukuusia sangat mempunyalmu tidak guna untuebaikan lai jahat,Negatif,Sedih
Kela ieu teh awewe atau lalaki? 😂,kela ieu teh a ki,Negatif,Lainnya
"Sekolah tinggi2.. uang banyak, maunya yg gratisan ya dok..",sekolah uang mau yratisan,Negatif,Lainnya
Yeee culun 👏,ye culun,Netral,Lainnya
😍😍😍😍😍😍😂https://www.instagram.com/reel/DIOQxxUyhCC/?igsh=ijnn9i😍j😍n😍n😍u9nonn9j😍,hps com rl dioquyh igsh iji j n n unoj,Netral,Lainnya
gejala awal nya apa dok? 😂,gejalal nypa dok,Negatif,Lainnya
Kynya sring ngelakuin sblmnya,kynya srielakuin,Negatif,Lainnya
lama gak ketemu istri. LDM bandung-pontianak,lama gaetemu ldm bandung,Negatif,Lainnya
Sudah beristri 😢masih ngerasa kurang aja🙃,istri masih ngerasa kurang aja,Negatif,Sedih
Nyaah pangkat dokterna aingmah,nyh pangkat,Negatif,Lainnya
Ini cewek apa cowok,ceek apa,Netral,Lainnya
Lupa pakai miniset sepertinya 🙂🙂,luka miniset seperti,Negatif,Lainnya
"Biruan heula atuh beungeut na, 🔥🔥",biru heultuh beungeut,Negatif,Lainnya
"Buka maskernya biar jelas dittandain emak-emak sejagat raya. Benar-benar Lo ya dok hyper apa gimana , pas lulus ga ikut sumpah kedokteran kah",buka masker biar jelas diandain emak emak jagat benar benar lo dok hyper apa gimana s ga ikut sumpah dokter,Negatif,Lainnya
Geus sering ieu sigana mantak wani teh,geuering ieu sigana mantak ani,Negatif,Lainnya
"Baru denger kali ini, biasanya yg mau lahiran jg selalu ssma dr cowo tp ini dr apa ya",baru denger biasa yg mau lahir jg selalu ma dr coo tp dr apa,Negatif,Lainnya
Wajahnya kaya china Tiong hoa.,ajahnya kaya china tiong,Negatif,Lainnya
Katanya ada 2 dokter 1 lg mna?,katanyda dokter lg mna,Negatif,Lainnya
Kasihan org tua nya dah biayain ... hancur deh cita cita dan karir nya .. kasihan tdk dpt melawan godaan ...,kasihan org tua nya dah hancur deh karir kasihan tdk dpt melaan,Negatif,Lainnya
Dokter koplak gak mikir betapa malunya keluargamu,dokter koplak gak mikir betapa malu,Negatif,Lainnya
Dia cowok apa ce....,cook apa,Netral,Lainnya
Salfok sama dadanya...ko tetenya gede,salfok sama ko nya,Negatif,Lainnya
sange kanu gering te ngarti,sange kanu gering te,Negatif,Lainnya
"Bahaya ini org, dan sdh tergolong psykopat.",bahaya dan sdh golong,Negatif,Takut
Waduh dok dok jajan Ari teu kuat mh..tong ngarusak,aduh n ari teu kuat,Negatif,Lainnya
Dia ini cew apa cow sih koq ada tetew nya 😮,ini ce apa co sih koq nya,Negatif,Lainnya
"🔥 Hati2 kalau di rumah sakit , jangan mudah percaya . Banyak oknum juga , di kota saya juga ada , korbannya gmau publish takut kalah duit . Sakitnya di perut tp disuruh buka celana dan makin nyeleneh , kelaminnya dipegang2 . Namanya dokter kan pasien mau gak mau iya iya aja . Tapi pada akhirnya sadar dan dibentaknya 🔥",hati kalau rumah sakit mudah banyak oknum kota jugda gmau publish takut kalah sakit perup suruh buka celana makiyeleneh nama dokter kan pasien mau gak mau padkhirnya sadar bentak,Takut,Takut
Sekarang hidup kudu banyak inget Tuhan bang,sekarang hidup kudu banyak ingeuhan,Negatif,Lainnya
"Satu RS nih sama dokter @rudimansurgery ,",satu rs nih sama dokter,Negatif,Lainnya
Salam olahraga hla padahalmah,salam olahraga hla,Negatif,Lainnya
"Kok pake masker sih, lepas aja",kok pake masker lepas,Negatif,Lainnya
Naha kudu di masker? Bau sungut?,naha kudu masker bau sungut,Negatif,Lainnya
Astagfirullah sekelas residen😢,astagfiruah kelas residen,Negatif,Sedih
"katanya pelakunya 2 org, mana 1 lagi",kata laku mana,Negatif,Lainnya
"Padahal dokter, knp gak nikah aja kan udah mapan",padahal knp gak nikah aja kan udah,Negatif,Lainnya
Yach ... Sengsara dah 😂😂😂,sengsara dah,Negatif,Lainnya
12 tahun penjara ga setimpal itu,tahun penjara ga timpal,Negatif,Lainnya
"Introgasi semua kali ada temennya,,,",introgasi semua kali,Netral,Lainnya
Mau ngalah ngalahin agus,mau in,Negatif,Lainnya
😢 siapa lg yg d' percaya skrg??,siapa lg yg d percaya skrg,Negatif,Sedih
Ko asa ssnya,ko asa,Negatif,Lainnya
"Ye alaah mas mas sekolah tinggi2 ema bapak luh meres keringet mereka.bantimg tulang mereka buat nyekolahin eluh jadi dokter.berahir di bui,gw aja kepengen banget anak gw jadi dokter,tapi yg baik,patuh dalam pedoman dokter,mentaati sebagai mana pedoman didalam hadis dan al qur'an-Nya. Dan bisa menolong banyak orang,kerja keras,ikhlas sabar.. aamiin",ye alh sekolah tin ema bapak luh meres keringet tulang buat nyekolahin eluh jadi aja ken banget anak g jadi yg pedoman mana pedoman dalam hadis al qur an bisa tolong banyak,Netral,Lainnya
Kejahatan sudah berbagai cara dan dimana mana bisa terjadi....semakin ga aman😮,jahat bagai cara di makin gman,Netral,Lainnya
"Naha dimasker a, covid ?",naha masker covid,Netral,Lainnya
Apa ada perawat yang di ajak hohohihe tapi gak ngaku😂😂😂😂,apda peraat di ajak hihe gak ngaku,Negatif,Lainnya
Naha susu na Badag? 😮 Lalaki eta teh???,naha na badag ki eta teh,Negatif,Lainnya
Dinikah kan saja skalian suruh tanggung jawab,dini kan skalian suruh tanung,Negatif,Lainnya
Cuy ngewe dari merkosa mah saritem buka keneh da moal tutup 😮‍💨 meni pedit jang kanjut ge. Merkosa mah teu lucu bagong 🥱,cuy ngee merkosa mah saritem buka keneh da moal p meni pedit jang kanjut merkosa mah teu lucu bagong,Negatif,Lainnya
birahi sia ngewe jeung anjing,birah sia ngee jeung,Negatif,Lainnya
🙏ada dua tuh atu lagi mana,ada tuh atu,Negatif,Lainnya
"Gusti Aya Aya Weh nya ayeunamah nepi KA dokter""GE ngalakuken Kitu",gusti eh nyyeunamah nepi ka ge ngalakuken,Negatif,Lainnya
Duit dokternya kurang banyak.. coba banyak kasus nya bisa mereda. Indonesia biasanya gitu,duit dokter kurang conyaasus nya indonesia biasa,Netral,Lainnya
"Susah2 jadi dokter dengan biaya yg gak sedikit , hancur begitu saja karena nafsu. Hancur karir hancur pula rumah tangga 😅",susah jadi dokter biaya yak sedikit saja hancur karir hancur rumah tana,Negatif,Lainnya
"Berobat untuk sembuh ini berobat sama orang sakit,.,",obat sembuh obat sama,Negatif,Lainnya
Hancur citra dunia perdokteran 😂,hancur citra dunia dokter,Netral,Lainnya
Untung SDH ketahuan skrg. Apa jadinya kalo korban sdh 50 baru ketahuan..,untung sdh tahu apa jadi kalo korban sdh baru,Negatif,Lainnya
Knp sih musti pake masker....,knp sih musti pake,Netral,Lainnya
Jegerr...jelema gering..leuwih ti gering jelem teh 😡😡,jelema leuih ti gering jem teh,Negatif,Marah
"Satpam yg komen ""ew*"" ge kudu dibere paham mang...",satpam yg e ge kudu dibere,Negatif,Lainnya
ITU SUSU GAK PAKE KUTANG? MELEHOY KAKA😂😂😂😂😂😂😂,gak pake kutang melehoy,Negatif,Lainnya
Curiga sering melakukan,curiga sering,Negatif,Lainnya
"Sakola mahal"" tungtungna di bui",sakola na,Negatif,Lainnya
Bikin malu org Pontianak!,bikin malu org pontianak,Negatif,Lainnya
Kasihan istrinya dpt suami model begini,kasihan istri dpt suami model,Negatif,Lainnya
Duh geli bgt liat beritanya.. Dia merkosa korban di ruangan mna?? apa g bnyak org d RS😢,duh geli bgt liat merkosa korban ruang mna apa g bnyak org d rs,Negatif,Sedih
Astagfirulloh kunaon aa eling😢,astagfiruoh kunaon eling,Negatif,Sedih
Naon nu dirasa😄,naou rasa,Netral,Lainnya
"Astagfirullah..kasian banget sama korbannya udah ayahnya sakit, dirinya pun kena musibah. KLO udah kesetanan kayak gitu, dah gak kepikiran lagi keluarga di rumah, nasib anak orang di masa depan gmn. Takutnya ini bukan kasus pertama sebetulnya. alhamdulilah ceweknya pinter langsung minta visum saat itu juga. jangan sampai ada kasus2 aneh lagi kayak gini..ngeri...naudzubillahi min dzaalik",kasi banget sama korbaya udah ayah diri kena klo udah keset kayak dah gaepikiran keluarga nasib anak orang masa depan takut bukan kasus pertama sebetulnylhamdulilah ceeknya pinter langsung minta visum st jangan ada kasus aneh kayak naudzubiahi min,Takut,Takut
Sekolah tingi2 jng mahal2 nepi jadi dokter tapi kalakuan ciga tai..hyang memek mah tingal meli we di mi chat,sekolah tingi jng mahal nepi jadi dokter kalakuan ciga hyang k mah tingal mel e mi,Negatif,Lainnya
"Setelah dibuka ikatannya abis Ramadan, setan-setan malah makin neglunjak bikin ulah. 🤬😡",buka ikataybis setan setan malah makieglunjak bikin,Negatif,Marah
Hukum sa beurat beuratna,hukum sa,Netral,Lainnya
"mgkin dokter trlalu sibuk ya jd g smpet ngewi d rumah, jd yg ada d RS d embat..",mgkin dokter trlalu sibuk jd g smpet ngei d jd yg d rs d,Negatif,Lainnya
dokter ko museum ya🤮,dokter ko museum ya,Negatif,Lainnya
Dokter hasil chat gpt,dokter hasil chat,Negatif,Lainnya
"Padahal ganteng siah , emg gak punya istri atau pegimana. Ilmu tinggi tp kerjaan begini",padahal ganteng siah punya istri ilmu tin tp kerjn,Negatif,Lainnya
kok ada lagi baju biru. gak baju oren saja semuanya yang ditangkap,kok lagi baju gak baju oren semuanng,Negatif,Lainnya
"Gaji dokter ga sedikit, kalau ga dapet yg gratisan kenapa ga cari parkiran aja Dok 😂",gaji dokter ga kalau ga dapet yratisan ga cari parkir aja dok,Negatif,Lainnya
"Sayang sekali pendidikannya disia-siakan. Kalau sudah bosan sama istrinya, seharusnya cari selingkuhan yg masih muda.",sayang sekali penkaya sia kalau bosan sama cari selingkuh yg,Netral,Lainnya
"Bentuk pertanggungjawaban dari rumah sakit karena tidak bisa menjamin keamanan dan kenyamanan pasien dan keluarga nya gimana ya,, 😂",bentuk pertanungjaaban rumah sakit tidak jamin keam kenyam pasien keluarga nya,Netral,Lainnya
Kaya wibu 😢,kaya ibu,Negatif,Sedih
"Mangkanya banyak yg nyari dr cewek krna bnyak yg takut ditangani dr cowok terus mereka selalu jawab (bagi dr itu hal biasa dan gaada nafsu) but sekarang terbukti bahwa manusia meskipun itu dokter punya nafsu, jadi kalau ada yg tanya ADA DOKTER CEWEK please jangan dimarahin , jaman sekarang semengerikan itu gaada yg biasa dipercaya 😢😭",mangkanya banyak yg nyari dr ceerna bnyak yg takut tangan dr cook terus selalu jaab but sekarang bukti baha manusia meski dokter punya jadi kalau yg tanyda dokter ceek please jangan dimarahin sekarang keri gda yg biasa percaya,Marah,Sedih
Gimana trauma berat yg di alami korban ya😢,gimana trauma berat yg alami korban ya,Negatif,Sedih
Serius itu gada yg mukulin,serius gada yg,Negatif,Lainnya
masi beruntung tuh gadapet salam olahraga,mas untung tuh gadapet salam,Negatif,Lainnya
Ini pemerkosaan..bukan pelecehan!,bukan leceh,Negatif,Lainnya
otakmu kalah sama nafsumu.......,otak kalah sama,Negatif,Lainnya
Menyalahgunakan ilmu kedokteran nya. Nafsu nya menyesatkan nya,menyalahgunakan ilmu nafsu nya,Netral,Lainnya
Rendos cengek domba Maskerkeun😮😮,rendos cengek domba maskerkeun,Negatif,Lainnya
"Nyari kerja susahnya bukan main,udah dapet itu semua malah kalah sama nafsu ,dasar manusia tidak bersyukur",nyari kerja susah bukan dapet semua malah kalah sama nafsu manusia,Netral,Lainnya
Susah2 sekolah setinggi langit akhirnya masuk penjara karena ulahnya😮,susah sekolah setin langit akhir masuk penjara ulah,Negatif,Lainnya
"Haiyaa..lu punya olang lagi ah..pusing oe lihat tingka laku olang olang kalian, mentang mentang banyak uang, berbuat sesukanya..!!!",lu punya olang pusing oe lihaingka laku banyak buat,Netral,Lainnya
Hidup sudah nyaman...nyari masalah 😢,hidup nyari masalah,Negatif,Sedih
"Dr auranya emang ada kelainan,kayanya bukan yg pertama kali",dr aura emang bukan yg pertama,Negatif,Lainnya
Sunatan nepi buntung pisan!,sunataepi buntung pis,Negatif,Lainnya
"Buka masker na, meh katingali benget na😂",buka masker meh katingali benget na,Negatif,Lainnya
Sekeloh cape2 ujungnya masuk bui😢,loh cape ujung masuk bui,Negatif,Sedih
Teu kaharti ku jamanan ayeuna,teu kaharti ku jam,Netral,Lainnya
Maksudnya knapa apakah gak ada 500 ribu gitu buat nyewa lontong daripada membahayakan kariermu ??,maksud knkah gak ribu gitu buat nyea lontong bahaya karier,Negatif,Takut
"Katanya ada 2, tapi kenapa ini cuma 1?",katanyda kenapa cuma,Negatif,Lainnya
Yakin banget gak cuma 1 korbannya ..,yakin banget gak cuma,Netral,Lainnya
Naha teu di duruk heula.,naha teu duruk,Netral,Lainnya
"Kasihan orangtuamu Lee 😢 Liat kamu juga kok jadi pengen nangis, setan mana yang menguasaimu sampai tega mencederai hati banyak orang terutama orangtuamu 🥲🥲🥲",kasihan orangtuamu l liat kamu kok jadi pengeangietan mana kuasa tega cedera hati banyak orang utama orangtuamu,Negatif,Sedih
"Pertanyaan, di RS kok bisa terjadi pemerakosaan?? Setingkat RSHS???? Keamanan nya mana???? Kok bisa klg pasien ,bingung ini kronologinya gimna??",rs kok jadi pemerakosn tingkat rshs keam nya mana kok klg pasien kronologi gimna,Netral,Lainnya
Cowo ko rayud😮😮😮,coo ko rayud,Negatif,Lainnya
Dasar tai tai sange sange teuing ari silaing,dasar teuing ari,Negatif,Lainnya
Bro lupa ngga pake BH😂,bro lupa na pake bh,Negatif,Lainnya
"Kasih tau dong,",kasih tau,Negatif,Lainnya
Naha sih jelema th boga elmu tapi teu boga otak,naha sih jelema th boga elmu teu boga,Negatif,Lainnya
"HIDUP MATIKU HANYA UNTUK ALLOH, SAMA ALLOH DIKASIH SAKIT SEBAGAI UJIAN, MALAH MINTA KESEMBUHAN KE SELAIN ALLOH.

INI TETAP SBG IKHTIAR! APA MEMANG ALLOH GA MAMPU MEMBERIKAN KESEMBUHAN KALO GA IKHTIAR KE SELAIN ALLOH?

KADANG LUCU MANUSIA DI PLANET LAIN ITU, BUKAN PENDUDUK BUMI KO.",hidup mati untuk samoh kasih sakit malah minta sembuh selain tetap sbg ikhtiar apa memang aoh ga mampu beri sembuh kalo ga ikhtiar selain aoh kadang lucu manusia planet bukan penk bumi,Negatif,Lainnya
Mun ciwit ginjal na ajig....😠,mun ciit ginjal,Negatif,Marah
Dokter kok bejadddd🤬🤬🤬,dokter kok beja,Negatif,Marah
Maluuu bgt dih,malu bgt,Negatif,Lainnya
Meni motah kitu boga manuk,meni motah kitu boga,Negatif,Lainnya
"Hayang ngadagor Mun Aya didinya, Jeung teu kudu make masker lah meh jelas bebengeutanna",hayaadagor mun aya jeung teu kudu make masker lah meh jelas,Negatif,Lainnya
Sakola sa mahal mahal di lelebar 😂,sakola sa bar,Negatif,Lainnya
Kunaon sih jelema jaman ayeuna,kunaon sih jelema jaman,Netral,Lainnya
"Beungeut lugu, knjt brengsek🤬",beungeut knjt brengsek,Negatif,Marah
"Sakit sih, harus di obatin ini mah bukan ngobatin😢",sakit siarus obat mah bukagobatin,Negatif,Sedih
Emg ga bisa beli sate aja dok?bandung mah banyak...katalog sama @youthbaey aman,ema beli sate aja dok bandung mah katalog sama,Netral,Lainnya
"Loba teuing lalajo drajor ajiggg, cik atulah geus berkeluarga inget pamajikan jeung budak rek maksiat ka batur teh. Eureunan nonton drajor dokter bodong. 😅😂",loba teuing jo drajor cik atulah geus keluarga inget pamajikan jeung budak rek maksiat ka batur eureunaonton drajor dokter,Negatif,Lainnya
"Sakola luhur,,tapi teu beubeunangan",sakola teu,Negatif,Lainnya
Salfok kuliatnya kakinya putih pucet,salfouliatnya kaki putih,Netral,Lainnya
"Najis senajis² nya
Beginilah jika punya ilmu tapi tidak punya ADAB percuma🤌🖕",najienajis nya begini punya ilmu tidak punydab percuma,Negatif,Lainnya
Cik rada dijenggut can nepika bener posisi otakna mah,cik rada dijenut caepika bener po otakna,Netral,Lainnya
cape cape kuliah buat masuk sel WKWKWKWKK,kuliah buat masuk sel,Negatif,Lainnya
Siap siap di BONGA BONGA di dalam sel😂,di sel,Negatif,Lainnya
plis ya rshs dokter na loba pisan aing lier,plis rshs dokter na loba pis aing,Negatif,Lainnya
Abi nuju rudet .. gelutken hela jeng abi lebar mulus keneh ie musang birahi,abi nuju gelutken hela jeng abi lebar mulus keneh ie musang,Negatif,Lainnya
Belet maneh dok disakolakeun teh,bet maneh dok disakolakeun,Negatif,Lainnya
Kenapa cuma dia yg pake masker?,cuma yg pake masker,Negatif,Lainnya
anjj bgt sihhh hiksssss,an bgt,Negatif,Lainnya
Inalillahi astagfirullahaldzim parah bgt ihh,inaliahi astagfiruahaldzim parah bgt,Negatif,Lainnya
Lahh muka cabul,la muka,Negatif,Lainnya
Naha teu diteunggeulan?,naha teu diteuneulan,Negatif,Lainnya
"Minimal cabut gelar dokternya, terus larangan praktek..
Bahaya dokter kayak gini maen bius orang buat muasin nafsunya",minimal cabut gelar terus larang bahaya dokter kayak gin maen bius orang buat,Negatif,Takut
Haduhhh nanti di penjara di apaain ya sama teman2nya,haduh penjara di apin sama,Negatif,Lainnya
teu kuat nahan musang birahi😂,teu kuat nahan musang birah,Negatif,Lainnya
Naha siga ehoy,naha siga,Negatif,Lainnya
Usut tuntas...bisa jadi ini bukan prtma kali,jadni bukan prtma,Positif,Lainnya
"i: ilmu
t: tanpa
i: iman
l: luntur",i ilmu t i iman l,Netral,Lainnya
Bakal hamil itu di sel😂,bakal hamil di sel,Netral,Lainnya
Sakumaha geulis awewena.. bogoh mah tinggal di canung we..,sakumaha geulis bogoh mah tal canung,Negatif,Lainnya
Bahan tempelengan di sel niih,bahan tempeleng sel,Negatif,Lainnya
Dokbul ai su** sia kunaon eta sing beuleunong kitu!??,dokbul ai su sia kunaon eta sing beuleunong kitu,Negatif,Lainnya
"Cacat nama diri dan keluarga seumur hidup,harga diri tidak bisa di beli dengan uang,hancur luluh berantakan,,",t nama diri keluarga umur diri bisa beli,Netral,Lainnya
GbLK....kawal sampai di bui plus titip salam olahragakeun.,kaal di bui plus p salam,Negatif,Lainnya
"Wanian sakitu rame na pasien drshs sempetsempet na ,curiga sanes nu mimiti ieu mh",ani sakitu rame na pasien drshempetsempet na sanes nu teu,Negatif,Lainnya
